,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
11,gp:AOqpTOHCEIrUcaWd9xXi4p270llPewhXHn9DEbgvyYTSIfTfEvyqTvbuMgPSwJQQVEhSGFo4fItpkjbbYjVbAA,Alan Jackson,https://play-lh.googleusercontent.com/a/AATXAJxNuhMBV_nngGDClFwfGLqoGbsq9aNg-qucduXP=mo,Unable to log in. Keeps stating there is a technical fault Very poor service,1,0,84.05,2022-02-14 15:47:45,,
12,gp:AOqpTOEIjMUE8Uknbl2lvwPLnUYrpIcwRSjkG-XeuTcqhHExTRiA5uDCdwnCCBv8unc1SQOMo7DAfh2v5xwlyQ,Andy Walford,https://play-lh.googleusercontent.com/a/AATXAJw5LzLbFF8DXWyEBbcLqAfnAq5wLmMhZQ5h0hOS=mo,V good,5,0,84.05,2022-02-14 15:38:00,,
13,gp:AOqpTOHZsFBYUmOzLeOMA-IXHpdj2y5ypX_wzqhXFbXG6h2Cs69SI_iQcv4og4PzCl66DsdbRUGyHD4RRYkcRw,Lawrence Bec,https://play-lh.googleusercontent.com/a/AATXAJzYRenfqrkCY8IZkxj3LQvexliZ-Wq9bBFx-nkz=mo,"Easy,intuitive",5,0,84.05,2022-02-14 12:10:53,,
14,gp:AOqpTOH8Xg43O5J_moknECIC9EtaVnCMbUBjGxah4oF57QK6XYtRy0DVBvFt1eYPkMvjyXtn6I1Zn1KHtPyF4g,Danielle Alexis Jane Mcnaughton,https://play-lh.googleusercontent.com/a-/AOh14GjbM9PrD9FK7uQH9oLIUXZhPbvt38vztK0EoP8dMQ,Excalent,5,0,84.05,2022-02-14 09:04:36,,
15,gp:AOqpTOH7d41Lz8QmcGdwAdJ6NVgn7kXWr3Kn_VEPXAqaHCxxQ0WuSXPr-KBfqUMkvQAvcC_yHMa4ZoBcgu6prw,Margo Twenty,https://play-lh.googleusercontent.com/a-/AOh14GjlsxHqIvVmiY_5rGmQylMgy_S5SWLNXkya5b_NVw,Can't get it to download,1,0,,2022-02-14 07:23:48,,
16,gp:AOqpTOEkDHeKQlcJCXsyZ8wTzsvr7ZZke8PNeZhN4irFamYFz_mFGOpzTDV3nElUccU-IO9ZII9sXO2WGvdw2g,ross fisher,https://play-lh.googleusercontent.com/a-/AOh14GgQrZVoNEH0xbtN-oKgczyi1TumeaukNernnV16Yw,"Constantly requiring updates. Could you not just decide on ESSENTIAL rather than so frequently. Every freaking time I use this! Please stop forcing updates. If it's that insecure, fix it once and for all. If it's not, then just stick it up for a month or two?",2,0,78.01,2022-02-14 06:43:49,,
17,gp:AOqpTOECzZ5VxvHlK5k7B4ly1RY_aAjEsPqkf-EebjrgIIFBHCWTvu_NtUbXxGtaM9hsA2kKfYl88KJfPSvxlQ,Janet Docherty,https://play-lh.googleusercontent.com/a/AATXAJyzyNrgG0FavBGsRTcMnVonugHjFXeB8bbGREj4=mo,Very easy to understand,5,0,81.03,2022-02-13 14:34:48,,
18,gp:AOqpTOGHGFCeiH9QSCJWL7vJIb-fAw2enhz2T1YhQmirdGfaEwTu_VDyeLRzt2qFVBmGK2EE9wzDBumMdmFoxw,Untiliva,https://play-lh.googleusercontent.com/a-/AOh14GhMJPqI6-BGNS8lv_uCBuH_HUttcPOkYzmXo7PdmA,"Very good Experience, thankyou",5,0,84.05,2022-02-13 13:28:26,,
19,gp:AOqpTOHQTfaNgYMUE8TVmRXw2Fs6m2lY-IEnUnRqnbifa0teEhV8VZL-MntMYH6OkSyXhGrPqrVnsZBHvXQ-gQ,Alia Tahir,https://play-lh.googleusercontent.com/a-/AOh14GhdQx6D4eeWyEJCV6ArTyP0TY-_yu9i8igbYWNSLKY,Amazing app.,5,0,84.05,2022-02-13 00:30:43,,
20,gp:AOqpTOHxnSBYD6IDxu9oQWIv7WqKLt-0iKngZvYF1nLBqqPMuzV1lkEqcjNJnCyp064CN8Z7a4B0YWRLQMbohQ,Daniel O'Donnell,https://play-lh.googleusercontent.com/a/AATXAJxBlL0jO_9aLN7y_xMh5udd-8kGXqfRPVVK4xVA=mo,Never had any problems since about a month after it came out. Bit of a nightmare back then. No problems now though always works. Once your all setup its so easy to use.,5,0,84.05,2022-02-12 16:33:48,,
21,gp:AOqpTOG41mY25FhH-CAPBsII6POmdjHS0K91MPdGqd1f0xNZrqswYGJZdoYu3da3VzVVBZ16v9IUnDCDIEWHCg,Sutherland Maciver,https://play-lh.googleusercontent.com/a/AATXAJzKa76H625vDLWkXkuBxitynH_Vu46aPWUOdYlR=mo,All very easy,5,0,83.02,2022-02-12 13:00:38,,
22,gp:AOqpTOFCTxaaqy9Y84yBO1T5kA2L1vhry9gcc_sjr6uaEhcS_8GLjgv1O59JWWLtcNznOawyVFSfAa3iOneOPQ,roger darch,https://play-lh.googleusercontent.com/a-/AOh14GhHDu_8vVT0HhSzKPrW817ickGtnLky9TXUmkFK2w,Good straight forward service.,4,0,84.05,2022-02-12 12:21:23,,
23,gp:AOqpTOGo4SxyW0n-g0BxnyqS5qiOc384SvupnPDxw0bVMuBsvKFG652u-XFFvB2CpC2bOTulCGcNJ442-lgeHQ,Marion Speir,https://play-lh.googleusercontent.com/a/AATXAJxs8sOHeAXTGBF28tonYkBbobicsD79ZW-Wo5EI=mo,So easy to use,5,0,84.05,2022-02-12 10:47:18,,
24,gp:AOqpTOFdfcIsO3LevfUC3ZC99hHxO97zJb2sTiRicUt-HOToukx3NlcWotaphF64YxZd_Pt-iAZx_oYroQcbfg,John Russell,https://play-lh.googleusercontent.com/a-/AOh14GjACoP0JRKczqM0vCyETqSw9bPwXLYrVpYyh7WO5g,Easy to do g38,5,0,84.05,2022-02-11 21:35:51,,
25,gp:AOqpTOGUr7IG3T_k8JyGDSWSvmFUASDbF4eiXazbTzzmWZMsI7o0utuucEMEv9MgVAflgqwoZNN0Ywq-viL2XQ,Philip Brereton,https://play-lh.googleusercontent.com/a/AATXAJxHm3l2I31ooMmweKIX9Nu3iMj8qSABULlCIhJ3=mo,Straightforward and secure to use.,5,0,83.02,2022-02-11 17:01:52,,
26,gp:AOqpTOHQyZtguA1ZurfypIZ2f92pITnBt1eZP_0OGMchIGfNEZeDN1hLNnPA1cYZskP5_eMZsHgNzrah8KMP1g,Vivien Blaikie,https://play-lh.googleusercontent.com/a/AATXAJwQxwQ6KKrAD5_wWVsDWe-lHXMDCvND3JYte04y=mo,Good,5,0,84.05,2022-02-11 11:04:31,,
27,gp:AOqpTOHCyoYkf5vB4lpjSJgarLRyJ_ytjS1j8wthvre-svk8NjsbbUW2NfClpip3U9W_3nzjhsE23UouoxSjCA,Elaine Harris,https://play-lh.googleusercontent.com/a/AATXAJwki1PzvrQuv7PCKkRLvJOEuXW8jMLeJr2FS6ik=mo,App easy to use and at last paying more attention to my finances trying to keep up to date with all payments. Thanks,5,0,84.05,2022-02-11 10:37:20,,
28,gp:AOqpTOHZ16xM8ujB_njeaAYD8TW3NsOLQ7x9NoW2fuqne8kZewd4bQh9TPQKZeoMB0AuFkQm_NDgYrvi_iamPA,Debbie Russell,https://play-lh.googleusercontent.com/a/AATXAJwFoHskhw0cW7dm1PP5Vlu007v_2q8A2TUbWpxU=mo,Straight forward to use. I have not experienced any problems with it.,5,0,84.05,2022-02-11 09:18:36,,
29,gp:AOqpTOEIKaqLdic7CBCvwiAE2RBkNYxC7cvJqdct4_Mal46Zb4UmeRJOVKigPGBA5QGWXfQ16IHO0BOTYviqCw,Zac Fern,https://play-lh.googleusercontent.com/a/AATXAJxjyOln8RCA8fdb8zNdbVrwtHWo-OAaXwSzmv78=mo,Always perfect,5,0,84.05,2022-02-10 18:29:21,,
30,gp:AOqpTOGuon9MrORbFo6kupJvofXHmBmT9uRnbhSpKv3ZyYn_aCONUko_7dkcwcW13jFcFK6jB8rP_lZeNt3mtg,Keith Tawse,https://play-lh.googleusercontent.com/a/AATXAJwNLvf60VNPxX7FP6TfC0m4-RiQry4xjQYMOiTS=mo,OK I guess,2,0,83.02,2022-02-10 16:49:07,,
31,gp:AOqpTOGU3lQAkL6CursQ54S_aZ0pXaIcI713AQi7kclFOcmV2SIMM_4z0Qm9Vcl6V-03eZFmhY4A6yNZl8MSNw,Phindu Lipenga,https://play-lh.googleusercontent.com/a-/AOh14Gh9xfYt0o47uK0b68WolmWb6S2l9iqfwwXQQKlnGg,Great secure,5,0,83.02,2022-02-10 16:41:41,,
32,gp:AOqpTOEOfdMrV2gIKu11Ysae_3YB_jeVK5sMqKumW0B70aSXiKNQgzAEQuyFajqNcrxj3kN6FW3gvVz-ZPn9VQ,Neil Panton,https://play-lh.googleusercontent.com/a/AATXAJydZv8OxYHOwREk2JNEZe6MD3fYMfXi6y3VU6kZ=mo,Easy to use. Ideal for my personal use.,5,0,83.02,2022-02-10 11:02:28,,
33,gp:AOqpTOGpsgxq3ZjRA44TKq3v6A5HQqanLSGXuU5_NX0qy7Fb8b6PbBP4I_7d5paapsfcpVhOzIDIDLl2Vc0wpA,Iain McQueen,https://play-lh.googleusercontent.com/a/AATXAJzS6oGyQ4wDpYvh0no1rPDVl-aOmDHjuX-njLV-=mo,Excellent,5,0,83.02,2022-02-10 09:10:35,,
34,gp:AOqpTOE7RSSZtL_9Levg_M2kFcNwHchHVYiYg9ZLrXzpL96pj0wG5mdnyFXqrPQuU_hkXF8RmQAyU9J4yfw82Q,Jay hughes,https://play-lh.googleusercontent.com/a-/AOh14GjB9HU2-2pxZdZv1sHzutxtFrVhT164IjdGBxDNgw,"Great Bank, Great Service, very Happy.. 😊.. Bless up.",5,0,83.02,2022-02-09 18:43:24,,
35,gp:AOqpTOHNykys6xm2c6HHDVv69r-xUwsxIKzOPSwLekXghaEJ5Q_z_rJWsWr5eBQHprTMG69RGQTvRSR1gfrJBQ,Alfred Adusei,https://play-lh.googleusercontent.com/a-/AOh14GhRJy-kmicWhos6tHMz_34q0uHaUHFRr7-4XMnkYg,Great,5,0,83.02,2022-02-09 15:28:43,,
36,gp:AOqpTOFPR7YGJ2CAcGN-Nja_B2S8sdCvFRY-X0XIQyth7zNlnkHwAzskoBzy7k5EZwU1Pj6_NTfHT2BFZbfJ8A,Helen Conway,https://play-lh.googleusercontent.com/a/AATXAJzwDFmhMSLv7RG0q5oNWfnZNvzhPW3h7_jmiAHw=mo,I dont know what i would do without this app 5 star.,5,0,84.05,2022-02-09 11:08:11,,
37,gp:AOqpTOFxWuatG-4U9ZyWlbKVdJDEe0kEBIO6EVwFOYUaeMa7jaF9rrSWEuU3qbIY2fJhEBxpRnuzOqrAyCjTJg,Rayyan Khan,https://play-lh.googleusercontent.com/a/AATXAJxpc7BG7h448td1VjEPkcRpTM0vtafgc5hS-XGv=mo,First class,5,0,83.02,2022-02-09 09:46:21,,
38,gp:AOqpTOENhkY2iFBaj0C-klWyfYTuNfGe-ZsKvtxZjaqTROofNI9cTA4HDP1tEeB89Y8iQ_L-eJWSpRZNH1qtEw,cojocaru cristian,https://play-lh.googleusercontent.com/a-/AOh14GgahA2-1IfjWwrIHaEqJsST14ItBaEyEfnNr2NZ,App is crashing on Android. Please fix this issue.,5,0,83.02,2022-02-08 19:47:31,,
39,gp:AOqpTOECwAS07dfinepqZ_H0HOFvWM5GYEzngUqtpDjsH129fFqzv9Eqmm3vk4Q50j7eHtgfoO11azYlksHHBA,Keith Baldwin,https://play-lh.googleusercontent.com/a-/AOh14GgozOpa__J3_0TmmHhQwv7nGgXT_YOsCjKKefgl,Very useful for my banking needs.,5,0,83.02,2022-02-08 17:22:09,,
40,gp:AOqpTOGGmcOMEuz5UkFRksBGnziAcKJsRul294GhWji2Ckl9bcV5vWLwB5HtgHGzbZTCIo_GIbxe7uvoXuh8nA,Daryl Bell,https://play-lh.googleusercontent.com/a/AATXAJznbsO0JniQQqWgTgo71qg-Pvig9H8-bqFc6TLL=mo,"Doesn't work on my Samsung G 21, everytime I try log in my screen freezes and I have to hard reset my phone.",1,0,81.03,2022-02-08 13:52:57,,
41,gp:AOqpTOGCDBKJYb0fThnXQLwWIIMHB73BjezVg63Z1YJrjJ0vWpeM8WBYStwUw3ByYEJOYAjhSPQpcD_8_uudLQ,Rosie Wright,https://play-lh.googleusercontent.com/a/AATXAJzj-1ndH4DVUjXB_t_NB3LA0YkpLmYBwp8tiDC8=mo,So easy for me to use and I'm not very good with computers.,5,0,83.02,2022-02-08 11:43:55,,
42,gp:AOqpTOGVqvj5zn_7lqsUq-ughyTmOX2dBmE3SPsBAz8ziB3YrKp_Txqza87hg3pmThg8HNKRNnL268wML0MCjQ,Johnpaul Eze,https://play-lh.googleusercontent.com/a/AATXAJwY_QSWplDTbkVrusP-vMGm0pPod9eOAKOd5-u1=mo,Fantastic,5,0,83.02,2022-02-08 11:33:57,,
43,gp:AOqpTOGrNHEB7DTosX1dWc8u8LIl8NAFNlM-ArZrZ4cnhp1pSXR0G1U2WA44Cc5ytXi2TnnPN_niuVoYLb_hiw,james dick,https://play-lh.googleusercontent.com/a/AATXAJxrnsgAgPp9ZsjVoOi2US2TiyCGRalKwLhTNH-g=mo,Great app 5 stars,5,0,83.02,2022-02-08 10:20:13,,
44,gp:AOqpTOEObWahgILAtbOCZa9KyXabe24VJAwGNbTq3AQlerkyp3bDNGI9_91djwF41M9WXTNhTrO8jF9T2RzKog,Karl Cleghorn,https://play-lh.googleusercontent.com/a/AATXAJyUouh8nxC9ycAnHSaVv-oocg0bTDb-M7Jg36Qk=mo,VG,5,0,83.02,2022-02-08 09:02:33,,
45,gp:AOqpTOF0zo_ShoI-xI0AFASvVcIY6rhJqQBF4cIRjIDTEQux254gc5oIBS7Jr86ZIFtRP7W1md-e8iKpsE_P2w,angel Nweke,https://play-lh.googleusercontent.com/a/AATXAJyHz_aG0C97wwwNQrdKXD3j8U9P3Ch36KeIBXYu=mo,Great,5,0,83.02,2022-02-07 21:22:06,,
46,gp:AOqpTOEhcJy5nEnrEb7KXLzurdK1Ju4Eo73WLK8DKD4-fb43B1HyBFcbzpIa5NkQBQ-K28gK_6-cmYYh8BWmXQ,David Buttress,https://play-lh.googleusercontent.com/a/AATXAJx6EiiYWC9VpFiL4gzJ_DqbJoPFvmJDCeQ6bU-O=mo,So easy to use,5,0,83.02,2022-02-07 14:27:53,,
47,gp:AOqpTOFGK3TUP8NaztZeEnNMHVmGbdLzpZOrUI845ddSi6ahfvTHIg5Ejqvs7nHYJnEs3irKHdmjlWQsyiwpbQ,Simon Coyle,https://play-lh.googleusercontent.com/a-/AOh14Gi7tGvOc90QyObCDp8B-PYAQPUOooYy5z2ZlxKUZmo,For last 2/3 months keep getting a red pop up advising the app is having technical problems. Always appears when you're on the Home screen. Not a great experience.,1,0,83.02,2022-02-07 11:55:10,,
48,gp:AOqpTOFVw3wHi3xWEpeJ41vg5HSJtLm6R9rQXuB13PqQpxa9Sx2J2I9qa5H9lW1kIMd15T2vZKofIhb92S0CHQ,akindele matthews,https://play-lh.googleusercontent.com/a-/AOh14GjBTPzlelM4XNWFTP_hLW-QH9rGgBKmv6IRTg-G-Q,Easy to use and dependable,5,0,83.02,2022-02-07 09:58:11,,
49,gp:AOqpTOEF877WkvpG7k7jSgJ5Q8nyw6eosG158ABSMH2o1GNgqELOTjDHLggvADKf89PercdJ9CBdmaLFyjpkHQ,Monica Forry,https://play-lh.googleusercontent.com/a/AATXAJyccfnnVvCb8tpopRGvmfE7wYTGjXy698VWOStd=mo,Very easy to use.,5,0,83.02,2022-02-07 09:02:45,,
50,gp:AOqpTOFhMCRHM2UoRtWAAIeDIJTsLLc6892pugH0vmEkFIIjh0jnB7UXi7lbJBZu6HJgbz-BqvyMOs8Ll_oVMg,Angela Mcwilliams,https://play-lh.googleusercontent.com/a/AATXAJxG2k-5lqto46r4_FElEF3e3C0do8rjvZ3Klt_o=mo,"Love this app, so easy to read and use",5,0,83.02,2022-02-07 00:26:31,,
51,gp:AOqpTOGy-BFIgIDyqGs4HSBQaWXtKSBrlbi_OAor-dZeoEoyTWI-qMN6s0b5UuUUxs0m6GmelCwCjAA4B61Vew,Olawale Yusuf,https://play-lh.googleusercontent.com/a/AATXAJyAr9QQpKyviuL8698eE7_MieRZhSIucT8I-yL2=mo,Working efficiently,5,0,,2022-02-06 17:53:15,,
52,gp:AOqpTOGUQoH4p12DZnKzijAGN-odFhwgdPScO6oKSFy7JrToAPWO4Wy2EKM9Af55HNYcEHze5RlJOdACJ1R9GA,paul organ,https://play-lh.googleusercontent.com/a-/AOh14Gio1TsbEUkJc-am7WG6a5XIhbAZeDBGybRMJ95h4A,"App constantly shows red banner saying cannot connect , restart app. Renders alotvof it's sections useless",2,0,83.02,2022-02-06 12:49:26,,
53,gp:AOqpTOGdMqiEChhauJtIiogDvFr4JSHln_YUENWG9dYiIWSnQYWcZrKKvnRAvS5MKqQkVsiARkFtDNYF93EDjQ,Sarah Costello,https://play-lh.googleusercontent.com/a-/AOh14Gi_6ecWXMgo4A-VpVKFvOs7zSuHOzbmh4e9vHNEmw,Everytime I try to get into my account a red pop up is saying technical fault try later. Not sure if it's OK to use,1,0,83.02,2022-02-06 10:17:07,,
54,gp:AOqpTOEf9tgg0qTjUnrr_Ev7y6m5WWfr9UqnlhRdsUXuelzi0G_7vHNiy2g7gn9VV4guMj94Dzc7-dY2-30JiQ,Zeshan,https://play-lh.googleusercontent.com/a-/AOh14GjMjlAWaoaxl-AG7EzxiRRIJ4HZ0fA_4-pH9XGGGd4,Well designed Easy to use,5,0,83.02,2022-02-06 03:49:18,,
55,gp:AOqpTOGXKmkI-uP5jRfMSTazfV2GOLWyfe2kxJd43MgRZIO8egXS6CFGvK_aA6nkOQoE7rac1LWSTXsyyV5jrQ,Ganiyu Madoti,https://play-lh.googleusercontent.com/a-/AOh14GioHyVeowEmvo6hXZx1qZ-HYimfE7oH6PhwUKNwG5Q,Simple interface and easy to use. Great application.,5,0,83.02,2022-02-06 03:29:38,,
56,gp:AOqpTOFqn66tII3PjN1UMtezLWSlgfkNin3EtIg0MzseERsmXhLXmZjASZE9v0lPaDw_-UNBBMagTfzx787zfA,sharon whales,https://play-lh.googleusercontent.com/a-/AOh14GjE2OA8IpyJAW8ffsS5618VmYEzbQzT3SVnXYEfwg,"IV had this app for almost 2 years and IV had absolutely no problems using it, easy to use and navigate.",5,0,58.04,2022-02-05 20:06:11,,
57,gp:AOqpTOFP4VX7CNajcD0A7hGKfjcg5cZ0nfxdT9kN3ro0HK3FV__YLw2PKRBgtOKWEFaW3TdpzMQAggaP3KNKIw,George Smith,https://play-lh.googleusercontent.com/a/AATXAJxkzrU_qz3L51xFqz3Ifc093QHaHYYBYyM-9Dc3=mo,Very easy to use,5,0,83.02,2022-02-05 09:26:29,,
58,gp:AOqpTOF2XY8Gu74U0qt_cWAEn8Ej7PjvalPwdzpNpaGwdjRjgF1GTTr75hfIp9Y2IOQtC2dnFUd-9QaqIL7KNg,George Andison,https://play-lh.googleusercontent.com/a/AATXAJyORwXzPryNlg3k-TM80CjEq4tQDdEg5SCc5BCS=mo,App crashes on my Samsung galaxy S21 Ultra. Unable to us the app which is disappointing as worked great on old phone no problems. Hope they sort it out as may have to change bank otherwise.,1,0,83.02,2022-02-04 22:47:11,,
59,gp:AOqpTOG5SpryqNn8RMCFiqEbxcqdDAGaYfZw0POfOv1nRMVXblffjgUeFvu4sgutCz3nnb3bGzyl4jWCdGCwdA,Caroline Davidson,https://play-lh.googleusercontent.com/a/AATXAJxiSiIKYl5WgC-gTTh4WirspN4sq1gP8xisHvsh=mo,Very easy to use.,5,0,,2022-02-04 21:06:49,,
60,gp:AOqpTOERzc0_ixP35nphHKjAvQja9eLvDcAwAWV6ZUi_8sHRc0HGbdY4dN_P3cMUK9AuuhFBFxSAlWfgnmceTQ,Michael Oludipe,https://play-lh.googleusercontent.com/a-/AOh14Gjp-aWqsUCEBVUzUMwr1a8H9tK5S2gkFg3BC0le,Good customer care and service .,5,0,,2022-02-04 20:23:28,,
61,gp:AOqpTOEXnMsaBkfs6_HA4LjaGuFEw5A2iRtjkG1JHekuFPhuXYe-1vfXwvB3At1ecZUN90A0pb7yboMx6-geZg,Emmanuel Braimoh,https://play-lh.googleusercontent.com/a-/AOh14GhIc0V7CfQH2pwo9ihLB3aoD7BePiknJ1AgnZnZMA,"The app crashes the moment I try to login to it. I just moved to the app and immediately I try logging in on my phone (Samsung S21U), it crashes my phone immediately. I do have to soft-reset my phone to be able operate my phone. Please fix this. I went to your branch and they told me it's never happened before but reading comments here is saying otherwise. Please fix this.",1,5,83.02,2022-02-04 20:06:19,,
62,gp:AOqpTOEz5zA9rzN7dojeyp2_NX1nduYXDf_Uf4K1wZ6scKOT2TdZTMzsQsAYsnAlZkOyAvM2dlXmH_xsqB2jgw,Richard Jeffery,https://play-lh.googleusercontent.com/a-/AOh14GheazSb-ogCsatGeCWhtcy9fG5VNIp_NokHmzDeAw,Easy to use,4,0,,2022-02-04 18:11:35,,
63,gp:AOqpTOEsPFVd1_QlrdUAgU7ZBR-vruxRtX9dxemrBkCODkGqG-u8lGVO2tpU4ezDglo2a1jAX7nxPZESd7i33A,Babs Cadger,https://play-lh.googleusercontent.com/a/AATXAJwo8GBWJ2_QVBueP5tXXg3Q7aQ8WaTVE8mQANLq=mo,Love this app suits me fine,5,0,,2022-02-04 15:40:22,,
64,gp:AOqpTOGUFCIqZUU_ZNmAFxfDElR01g6NGdKepjNXJtLEllVVJB7rmZYb6tU_CM_M7-wgbKpRbsLzYV2IGGIxng,david white,https://play-lh.googleusercontent.com/a-/AOh14GjM8J0_8fD9_UtS3WIM-X4XoWNLl4ZrlGMTmpMHKg,Been getting hit with the technical error red box pop up and its blocked me from saving/sharing confirmations,1,0,83.02,2022-02-04 14:57:01,,
65,gp:AOqpTOH11jG_bprY1m-zKEFx5sf1iltNzofbWxPryQUlbW0V0FvSR64zvQkqs2KZu_eFeQao1b3wqB_zTQ4isA,Bronwen Young,https://play-lh.googleusercontent.com/a/AATXAJzjbz8L5BcZGeIH2bKhjr84HnCO1X1bx7Z47IVv=mo,Easy to use,5,0,,2022-02-04 14:21:42,,
66,gp:AOqpTOH3M9KeN6eU0Af1lvzQ0jXuzgaaC6t17TgLarZtON0VsuWaeZTteyepl2Bj_G_74DONexlTapeiMKfAsg,Mr Harry Murdoch,https://play-lh.googleusercontent.com/a-/AOh14Gi3-kD5QqMhg1Avm46gSxP89pl2Gy_1AXjIc-Lo8Go,Fantastic easy app,5,0,83.02,2022-02-04 12:06:44,,
67,gp:AOqpTOH2kgseIlWzFDyPOFxxfnARmO_DoOAJ0_wK4oDvK-WyrRNV8LZfVUkwIe5wAH_JGsbODxAXvzzK6dPeww,Tam Alexander,https://play-lh.googleusercontent.com/a/AATXAJxUojF91a8x3lhDAWHSE39U4kcj9UfzKDJm_sKi=mo,Quick and easy to use.,5,0,82.02,2022-02-04 11:21:47,,
68,gp:AOqpTOE5mlCAsqBsavGko4izGY9B71MRJdSJpST-t2eJBTRQYM7JpqhnjDMOVm9JAwN7cuLDGQAJccCc1Y4low,ورد ورد,https://play-lh.googleusercontent.com/a-/AOh14Gj0Fdg_bG8z57vJh7aFmBEoMyl5ErpqlZvHS8y8,Very helpful,5,0,,2022-02-04 00:32:52,,
