,Unnamed: 0,rating,userName,review,title,isEdited,date,Positive,Negative,Neutral,Compound,Sentiment
27,27,2,Chico Fabulo,like lot people ive started using app year possible get brick mortar branch whilst payment work fine though id like security sort tfa maybe using pinsentry trying deposit cheque exercise frustration app immediately claim taken clear image wildly skewwhiff human operator least take clear image submit app grumble image isnt clear enough round round buoy give frustration tend think server end issue sometimes work fail 8 time row know cardinal sin software inconsistency fair devs probably scale drastically last year otherwise useful reasonable app two star given fails one key competency one lot people downloaded app,Hopeless image capture (error CP001),False,2020-12-03 07:46:42,0.186,0.135,0.679,0.4767,Positive
28,28,3,outasight66,ive always found app convenient generally reliable recently personal business account screen required toggling several time order access business account screen latest update appears sorted biggest failing app however pay cheque facility simply fit purpose handful fortunate attempt photograph cheque within app end green frame wildly inaccurate instruction retake photo incredibly frustrating especially time needed avoid avoid visiting branch also hsbc account app work flawlessly every time seems ridiculous pay cheque hsbc order transfer barclays account pull finger barclays,Pay in cheque facility not fit for purpose,False,2020-05-03 13:40:50,0.077,0.18,0.743,-0.8186,Negative
29,29,1,Chonka Goo Har,banking app agree lengthy term n condition every fortnight long read hard understand every online account able run without others update without happening ive screen shorted last 12 month sending banking regulator coz ridiculous also theyre trying get link account app fine n dandy till something go wrong itll everybodys fault remember bank ran greedy twat app fortnightly term n condition change perfect example also barclays service limited thick send reply saying theyve got update app keep money safe totally miss point term condition every fortnight cant update app without agree something cant even tell changed long every bank seems capable updating apps keeping money safe without getting read novel every time,Terms n conditions,False,2019-09-25 01:04:44,0.141,0.165,0.694,-0.3083,Negative
30,30,3,MT2008,like save two major issue slow open touch id take several second appear take time load account list apps ive used load much much faster use money management app reconciling transaction awful experience app switcher barclays decided require touch id every time app brought foreground also doesnt remember even despite im half way list transaction particular account im shown main account screen switch back money management app slowness mentioned compound awful experience clearly done security halifax nationwide santander allow apps persist background example security overkill detriment user experience,Too slow and security overkill,False,2018-06-01 06:48:20,0.149,0.059,0.791,0.7964,Positive
31,31,3,Oscar Horne,throughout time using app feature labelled one thing end another ive trying change memorable word sign online banking despite setting bank statement click nothing happens want change online statement fortunately setting within app change memorable word fact doesnt let change memorable word instead personal greeting mean order change online statement ill probably end go physical shop given barclays supposedly encouraging customer go online reduce environmental impact need make process easy possible need happen option setting exactly theyre labeled,Online Statements,False,2020-11-05 11:48:21,0.104,0.047,0.85,0.7076,Positive
32,32,5,what is this?!!!,allowed latest version iphone ipad forcing customer either pay lot money new phone tablet continue making payment online also fact introduced delay 4 day make payment third party historically made instantly e g leaving country month wish arrange future payment credit card longer result incur late payment charge affect countless number customer make lot extra cash barclays definitely customer friendly pity someone didnt engage brain launching change app remain barclays customer one forty year,Paying historic payees,False,2019-09-04 22:56:46,0.181,0.094,0.725,0.8055,Positive
33,33,5,jmeadows92,service simple use whole deposit cheque cannot use fund account cheque exceeds amount example 200 account deposit 1000 cheque account show 800 overdrawn wont able use card cheque clear spoken 3 different member staff branch 2 different people via customer service problem still isnt resolved first person spoke phone first happened first two member staff branch came separate excuse acted normal third branch member acknowledged problem attempted help currently process trying resolve issue help member customer service,Cheque problem,False,2018-07-28 20:11:23,0.139,0.081,0.781,0.6101,Positive
34,34,5,campaschristmas,well love new update purely shown incredible issue lgbtq community face event like pride needed delighted barclays added logo show much needed support community need one question im intrigued bother youre gay carry life cause issue reason cause negative rude sometimes offensive review post reason guy community need reason continue see longer need raise type awareness thanks barclays fair play taking negativity,Rainbow Logo 🏳️‍🌈,False,2019-07-01 17:27:38,0.281,0.175,0.544,0.8126,Positive
35,35,4,Clivuss,easy use app allows view barclays bank account credit card including 3rd party bank carry mobile banking transaction bill payment transfer etc quickly go app let certain respect though io version logout well implemented using facial recognition log straight back could well prove security issue unaware still loggedinto account developer must aware since cant user raised app support team far there update fix blindingly obvious extremely irritating bug whole though make account management easy im happy recommend,Needs tidying up for iPhone use,False,2019-11-20 10:25:42,0.334,0.051,0.615,0.9767,Positive
36,36,5,Icelighter,barclays always done well ive never disappointed effort app exception check balance pay people move fund account link barclaycard adjust regular payment one place greatest ease however two issue ive come across although theyre relatively small dont aggravate extent remove star rating 1 new siri functionality great theory work ive tried several time pay someone using account number well mobile number get step authorise payment never go using app flawless though 2 watch app temperamental improved lately still entirely reliable used work usually go back initial connect watch app message force closing watch app reopening seems fix pain shouldnt happen overall great banking app great bank hope see small annoyance fixed close perfect possible,Best Banking App,False,2017-08-28 18:17:56,0.304,0.058,0.639,0.988,Positive
37,37,4,Imo-imo-imo,ap generally pretty good chat function could improved navigate multiple screen get back recent chat sometimes chat history doesnt load dont always get notified new message chat advisor apparently unable change credit card statement date keep referring earliest payment due date latest payment due date billing date none statement date seemingly incapable explaining terminology actually mean imply simple problem dont understand theyre using lingo thats meaningless anybody apart people work barclaycard would better terminology used meaningful customer,Good functionality but some bugs,True,2022-01-20 08:14:32,0.182,0.088,0.73,0.8316,Positive
38,38,4,PC on the PC,general app great unfortunately im getting 2 cheque week function pay cheque failed completely earlier version app worked id mastered lighting background latest 2 version failed scan cheque successfully business cheque slightly bigger personal cheque one large format business cheque app failed find 4 corner cheque repeatedly flashed outline triangle around screen small format business cheque bit bigger personal cheque app scan image fail next stage message need clearer picture work earlier version latest resort go branch want covid time,Very good but...,False,2020-08-25 09:02:06,0.092,0.183,0.725,-0.8225,Negative
39,39,1,Disorganised,idea payment transfer merged served increase number click required basic common function doh extremely annoying payment already extremely annoying lack account context lack default account theyll take another bit longer dont moron use app banking basic common function quick access id gladly lose help button get back separate button payment transfer id also happy lose statement button people pay people multiple time per day people transfer money multiple time per day dont use help dont use statement dont need change marketing preference name email multiple time per day important place screen statement cant delete garbage statement like useless annual summary always put recycle bin used come paper,Latest update another step backwards,False,2017-11-16 16:48:08,0.166,0.156,0.678,0.0735,Positive
40,40,5,jeannie02fox,old old enough remember old money thought online banking terrified let alone app however managed master online banking almost everything even failing eye sight used chat service one occasion helpful friendly understanding young member staff walked though problem would highly recommend go app even relatively technological experience made life much easier far fewer trip bank helpful cannot get due ill health etc always banked barclays even though banking changed would never change bank really best seen u best time worst,Great for us oldies,False,2019-04-23 21:31:10,0.239,0.147,0.614,0.8713,Positive
41,41,5,Living Fossil,find app useful reliable keep informed every transaction big problem compared user app im missing function international payment paying cheque long term customer good credit despite many call barclays support nothing changed explanation given im hoping responsive feedback process comment still true several month review first written really miss international payment go back computer costly term time contact barclays frustrating never get result,Brilliant when it works but some functionality missing,False,2022-01-04 11:57:03,0.236,0.136,0.627,0.8445,Positive
42,42,1,ap-kp,spend half life paying cheque app f painful close branch option leave review stating poor cheque paying facility get normal condescending copy paste answer matter many time told facility doesnt work update update update update f done matter much promise youre working working shortly obviously dont give nothing ever get done im sure must bet many time get app say need clearer picture something went wrong would think would embarrassed cant get working conclusion must whoevers job fix part app job doesnt give im sick polite sort,Half my life,True,2021-03-09 15:25:23,0.098,0.132,0.771,-0.6483,Negative
43,43,5,nephtine,normally pay monthly credit card via online banking use pin sentry pain dont card detail hand even still long process get security often time im confirm transaction session timed logged start beginning app much easier faster dont need card pin sentry also great checking balance moving fund around soon get alert current account go minimum ive set havent found anything online cant app great much user friendly convenient instant,So much easier to access than online,False,2019-09-12 08:38:30,0.244,0.084,0.673,0.9334,Positive
44,44,4,Snodgrass the Great,always liked mobile app online banking gripe regarding frequent update update app accept new tc able access app expected read whole lot agree one two change without even knowing change eventually time would make user friendly would bank highlight change would look relevant section thing would like see ability able print payment receipt mobile payment way computer,Updates need to be clearer,False,2021-11-26 15:10:51,0.268,0.0,0.732,0.946,Positive
45,45,5,Black Heron,app functional daytoday requirement improvement future 1 many facet life app allows bankee one string bow instance im professional registered employment annual salary atm 2700033000 im fulltime student im reset old business new year 2020 2 3 different address depending job im time 3 3 different work attached email address app allows 1 4 imho disadvantage treated fairly offer ive unable take full advantage technical difficulty barclays behalf 5 would like app ability request seeing right people branch need 6 would like ability apply sponsorship corporate help bankees require something back organisation may part longer many top paid banker alive 7 idea basically app hub banking requirement modern fastpaced world,Mr Christopher Wones,False,2019-12-13 05:22:06,0.187,0.045,0.768,0.926,Positive
46,46,1,Jonad724,massive disconnect barclays say app actually told could update home address detailed explanation via chat function function exist change email address secondary email address told could update phone number thats either chat operative said finish update hitting today link thats either app clunky slow pretty much like barclays especially get developer response there way contacting left response contact developer link take barclays app web page keep asking happens click update detail button clearly review change email address thats personal business account,Frustratingly Awful,True,2021-08-28 09:36:43,0.112,0.0,0.888,0.8271,Positive
47,47,5,eat your greens,may avoided using app cashier suggested completed installation dont need travel bank payin cheque mean scan cheque easily without need taking valuable time working day nearest branch mine nearest recently closed check account easily crazy revolutionary idea issue text message informing account status overdraft seem delayed money paid reflected balanceso clear instant would like pleased overall kind access rather relying computer wether locate pin sentry,Barclays App handy and user safe,False,2018-07-11 00:55:04,0.201,0.115,0.684,0.7873,Positive
48,48,2,Mcatama,morning tried pay cheque initially pleased see function updated use guide line screen unfortunately didnt seem make difference still take photo automatically ready often capture edge odd angle 20 go different location house different lighting different background still getting need clearer picture error gave came back hour later try option pay cheque seems disappeared completely app finger crossed come back actually work others bank functionality work without problem possible,Where has the cheque payment function gone?,True,2021-11-19 11:55:41,0.096,0.152,0.752,-0.3489,Negative
49,49,5,John Canadine,whole app good especially ability pay cheque using camera used work fine camera screen visible box would turn green cheque correctly aligned capture image however wasnt enough app developer seems case itchy finger seemed unable restrain desire modify feature nothing guide position cheque sudden warning camera capture image geometric disaster app tell u need clearer picture user error isnt broke dont fix please fix soon,This WAS a great app.,False,2020-01-26 14:25:46,0.154,0.186,0.66,-0.3849,Negative
50,50,4,Chris.olc,good used first started using several year ago found clear simple use seems complicated first time used upgrade took age find logout still annoying even though know also print small easy read people get older everybodys eyesight going downhill 40 ageing population make good sense make easier majority people read easily light grey print statement really difficult see easily even newly updated glass prescription update march 2018 like way app work even unhappy difficult see pale tiny print,"It used to be good, now not so good",False,2018-03-01 12:18:09,0.229,0.112,0.659,0.8595,Positive
51,51,4,romaine45274,banking apps name hardly usually leave review apps there always first time barclays continues improve pace feature photograph cheque deposit value 500 ingenious sound crazy check everyones liking maybe boon customer purchase product debit card like see said purchase pending payment within app immediately feature longer available terrible purchase item able see pending payment crucial especially youre disputing charge phantom uber ride etc barclays please reconsider bring back pending payment feature,Fantastic BUT,False,2019-12-01 12:10:56,0.165,0.101,0.735,0.5267,Positive
52,52,5,P3ac30ut!,rubbish app cannot open uninstalling reinstalling several time offer app clearly fit purpose frustrating looking st review im one deserves zero star asked version im using 935 ipad 2 previously never problem either using banking app gradually upgrade slowed started crashing regularly said complaint crash wont even open help desk internethelp send generic response supposed solution work also shouldnt pay kept hold help shouldnt matter version customer using app able work regardless,Rubbish,False,2018-10-27 08:29:19,0.131,0.159,0.711,-0.3261,Negative
53,53,2,AnthonyAv,making payment bank transfer receive unreliable information data input field already raised issue 18 month ago seems getting worse please ensure app fully accessible releasing update happy product test working team ensure full accessibility additional information requested developer pay transfer page typing reference field voiceover announces previous reference typing new reference information voiceover give confusing way check reference correct go review button check information correct submitting confirmation,Barclays mobile banking app no longer fully accessible for blind and visually impaired users,True,2022-01-05 17:14:31,0.144,0.082,0.773,0.7003,Positive
54,54,2,Marco234,app suddenly altered showing account tried using contact u help section chatbot course totally useless doesnt understand phone busy refers chatbot ive barclays thirty year feeling penalised loyalty twenty year ago much better started lose plot gradually standard slipped remote consequently touch good service mostly dont mind remote digital banking suit need app become increasingly glitchy throwing pop message error seems broken remoteness mean cant bring attention broken app broken business model update started sending push notification even though turned setting talk buggy,Broken.,True,2021-10-29 15:41:11,0.132,0.174,0.694,-0.6478,Negative
55,55,4,Dominic L London,great app everything youd want online banking app however clearly someone who directing development hasnt foggiest idea good ui design earth could possibly believe message bottom screen new feature case open banking x x universal symbol close tapped simply open full screen version message there way dismiss message despite x idiot manager signed anyhow dont write review puzzling annoying idiotic enough push write one saying something ui unobtrusive leave user facepalming scratching head,"Great, with some annoying, stupid design choices",False,2018-11-12 18:39:45,0.131,0.12,0.75,0.2254,Positive
56,56,3,newapp user,husband new phone installing app barclaycard wont show problem previous phone 30 minute phone india aargh 45 minute branch plus phone india one seems sure number quoted u old card current card replacement card summer old one lost new card linked app previous phone whats changed help support dreadful branch really nice found local branch still open didnt know contact sort eitherwe dont know go get sorted want actual card linked app app fine work issue support,Barclaycard issues??,False,2019-11-29 08:09:47,0.223,0.058,0.719,0.899,Positive
57,57,5,In order please,update barclays mobile banking app install new iphone feel easy transfer could far thing find annoying new app account presented ie current account monitor frequently top list blue reward presented one account would like see accessible clicking account tab would helpful possible user decide account want view first three visible move account order useful,SVL,False,2021-03-16 14:30:18,0.269,0.041,0.691,0.9217,Positive
58,58,1,notbrokendontfixit,sure wrong app hesitant fails update account app transfer money one account another balance dont change need log back update balance click back doesnt respond 3 second later press throw profile registered action took excessively long time actually instructed dont understand app programmed thing programming poor spends unacceptable amount time thinking programmed alternative barclays banking app would download alternative change bank banking apps essential everyday apps shame barclays version abysmal would easier go branch good luck finding one,Why am I waiting,False,2021-07-20 10:23:40,0.116,0.18,0.705,-0.7269,Negative
59,59,5,Dybysco,several deliberation whether download barclays app finally decided debit card swallowed atm outside sainsburys new southgate taken 25 minute card cancellation call bank connected advisor first 5 min wait cash fraudulently taken account advised barclays bank staff consider using barclays app much safer ensure fraud quickly downloaded barclays app really enjoying using banking easy daytoday basis making long call barclays waiting call queue answered thank wonderful service bernadette igboaka,Barclays App,False,2019-10-29 11:56:13,0.219,0.046,0.735,0.9245,Positive
60,60,5,Harmony_B,im satisfied excellent service barclays mobile banking app provides app allows easily access banking detail including bank balance card detail recent transaction mobile app secure allows use touch id meaning detail available account holder setting enables personalise banking experience allowing set limit spend money much money withdraw cash point well notification receive preference receiving bank statement updated make banking much easier highly recommend,An excellent mobile banking service,False,2019-03-28 09:52:28,0.253,0.0,0.747,0.9516,Positive
61,61,5,Nettybotting,rate facility highly enough using 5 year phone 4 iphone 5c iphone se phone 8 app safe secure easy use virtually banking transfer account make payment people manage transaction sort also barclays pin sentry facility mean dont carry separate one around hand bag seriously useful bit kit used app particularly like bank cheque function take photo cheque hardly go branch day longer branch local town app take care banking requirement,Barclays mobile app banking,False,2019-09-21 12:31:33,0.251,0.021,0.728,0.9558,Positive
62,62,5,Mr Pantz68,previously rated app really good reliable recently come conflict bank due inaccuracy data show barclays admitted said get load complaint given scale barclays operation one would assumed would addressed time aware balance reflect apparent reality account transaction able shown even month later leading get communication bank whose answer unbelievably use paper statement online version cant trusted kid,Hidden Issues,False,2020-11-10 15:04:15,0.072,0.111,0.817,-0.353,Negative
63,63,5,Riddettski,devastated somehow pickpocket managed steal purse last thursday salisbury went pay something gone couldnt believe handbag arm held close body retraced step hadnt left last used slowly sunk stolen made way police station lost card including bus pas couldnt get back park ride car park car notified barclays iphone app approx 530pm thursday 15th unbelievably four barclays card arrived saturday morning post 17th 2 dr card 2 cr card royal bank scotland cr card didnt arrive thursday 21st thank barclays super service,When my purse was stolen!,False,2019-11-22 18:42:57,0.068,0.151,0.781,-0.7717,Negative
64,64,3,Fireflysara,app ok reason lately never access pending transaction blue moon appear mentioned rang barclays currently issue online paymentand lady rude saying well see able see went barclays bank issue told lady said need monitor payment hopefully go back onto account within many day told cant see pending transaction knew going say said lot people issue could see computer usually really big issue annoying im faced problem transaction become issue thankyou,Ok app but....,False,2019-11-27 06:18:13,0.088,0.109,0.803,-0.3947,Negative
