,review,userName,title,date,developerResponse,isEdited,rating
13,"I found this app to be absolutely invaluable, my daughter helped me initially set this up but just 2 clicks and you’re there absolutely wonderful no more forgetting cards in stores ec cetera no longer searching the house after I do an online with my card then can’t find it the next again day!! I’m sure the bank would help people set it up on an app but if you have an Apple IPHONE like I do, then goTo a local Apple Store near you and there are lessons on how to do it yourself, I hope this helps💫",Betty Edits,Brain Injured Person,2021-08-12 16:35:37,"{'id': 24871367, 'body': ""Hi, and thanks for your review. We are pleased you find our app so helpful. And you're right, we want to help our customers feel confident using online services - that's why we provide lots of helpful information and lessons to build digital skills through the Bank of Scotland Academy. Full details of this provision can be found through our website, or by visiting www.bankofscotland.co.uk/aboutonline  ~ Emma"", 'modified': '2021-09-02T12:47:32Z'}",False,5
14,"This app is very good and very helpful. The reason I'm refraining from giving 5* is that I have had a lot of issues with requesting a change of address and/or a change of PIN. For some reason, the registered address of a savings account is stored separately from the registered address of a credit card that is tied to the same account (god knows why BoS does it this way). For a very long time, the app just used to give me an error when I was submitting such request and the only way was to call (long wait on the phone but that's a different matter). I finally got the right address in through the phone.",Panosroussos1,Very good overall,2018-01-30 11:27:08,"{'id': 2455930, 'body': 'Thanks for the feedback and apologies for any inconvenience. Anthony.', 'modified': '2018-01-31T10:24:24Z'}",False,4
15,"The app is fine and works pretty well but I always got annoyed that the displayed amount that I have in my account never took off the money in my pending transactions, always leaving me thinking I had more money than I did. I could look at the available section and do a bit of maths in my head to work out how much I had and how much was my overdraft but it was annoying and I could never work out a reason for it being like this. Then the other day I was delighted to see they had updated the app to automatically take the pending transactions out of the amount, only for them then to go back to the old way the next day? Why?!",chowie123,Made better then made worse?,2019-11-17 00:53:04,,False,3
16,"With the old App, now discontinued, I was able to regularly check details of investments which had been recommended to me by HBOS financial advisers. With the new App, this information is not now available because the Bank in which I hold the investments is not listed. The new App has effectively reduced the level of service provided. While other functions of the new App are the same as with the old, as an online customer, I consider I am now less well served. It certainly doesn’t feel like an improvement to me.",Handy Dave,Accessing Investment details,2019-08-27 22:24:15,,False,5
17,"I use online banking all the time and this brings it to a whole new level. I have an iphone 7. An excellent app with which I've found no issues. It's quick, extremely easy and really brings your banking to your fingertips. Security seems spot on too, with all steps taken for the users protection. New fingerprint security makes it all the sweeter to use. Don't hesitate to use this great wee tool. You won't regret it.  I see some reviews saying it doesn't work. Nonsense!!!",Scotsgirl46,Excellent app at your fingertips!,2017-09-30 07:21:56,,False,5
18,"This app works well enough for day to day actions, transfers, and checking accounts. However nestled between your accounts there is constantly adverts show... ‘bank of Scotland is secure’ and offers for overdrafts and more accounts. I’m already a BoS customer, I don’t care about these... I’m already a customer. I know who to ask for more service, which I can do as and when I need them. They get frustrating.
Accounts can be renamed, however not via the app which isn’t the end of the world, you do this once. The account names do show in the app. Supports face recognition unlock, and you can see your statements.",stalky14,Adverts everywhere!!,2019-08-24 11:13:37,,False,3
19,"The BoS app is very easy to use and easy to navigate around the different functions. 
I like the dashboard at the top of home page where you can easily slide between your different accounts. I also like the money available information being presented so you don’t have to deduct your pending payments from shown balance.
I have give this app 4 stars as I quite often receive the message saying the app is experiencing technical problems which can be frustrating when I want to make a transfer whilst it’s fresh in my head.",lmcn86,Easy to use,2018-06-24 08:48:37,"{'id': 24554350, 'body': ""Thank you for your review!  We were pleased to hear that you find our app easy to use.  We've continued to make improvements to our app since you left this review in 2018, we'd love to know what you think. ~ Emma"", 'modified': '2021-08-17T10:52:08Z'}",False,4
20,"BOS banking app is a great app but why can’t I have fingerprint login on my iPad Pro like I can on my iPhone. I’ve been asking this for around 2yrs now either by email or letter, what ever that is, and have not had a single reply so I’m not expecting one here either!! It must be simple enough if I can even use face recognition on my iPhone Xs Max now. The BOS is the only bank app I can’t use fingerprint authentication on my iPad Pro. The other banking apps I use have it so why is BOS so far behind (at least 2yrs) the competition?",GazEllins,Best banking app going,2018-10-02 05:41:59,,False,5
21,We have only been customers with the bank since the end of November this year. I have been unable to use my card online. My husband has no problem!! I have used my card to withdraw cash & contactless. Bearing in mind the time of year & a family to buy for be it food or Xmas presents I am frustrated & annoyed. Have tried contact the bank by phone. Just yesterday I spent 18 minutes waiting on the phone & when I finally got through I was told she couldn’t help me & transferred me to another department which I then spent another ONE HOUR before hanging up!!! All chat on the website was no help either only advising me to call the help line!!!!! VERY DISAPPOINTED customer.,Suzimonks,Customer Service,2020-12-13 14:38:01,,False,1
22,"Have Banked with them since 1962 with a small break when I worked in Canada I can understand why they are shutting branches l find on line banking very convenient if I do have a problem your 24hr phone banking is very helpfull I have even used it from New Zealand I got the problem sorted out in 5min
I also find the local branch very helpfull the service I have received now is far better than it was 25 years ago.
          Regards,
         Donald Wemyss  ( age 75)",portobello man,Donald wemyss,2020-10-08 06:19:48,,False,5
23,Love how easy it is to create new transfers and move money about between accounts. As it’s the app it fits perfectly on the screen and works much better than using just a browser online. If you leave it for a second it automatically logs you out so you know even if your phone was stolen you would still be safe. You can also put it to log in with your fingerprint and that works really quickly.,Shiv45894839302,Quick and easy,2018-06-16 18:23:11,,False,5
24,"This is a magnificent app by Bank of Scotland.  I use it daily on my iPad or iPhone to keep track of my bank account and credit card balances, without the hassle of logging on to a desktop or laptop.  You can check balances, pay bills, move money, create new payees, delete direct debits and virtually everything else you would do via a desktop computer, all whilst on the go, if you fancy.  It's easy to log in too, yet appears very secure.  I can't fault the app at all and would thoroughly recommend it..",999tommo,Superb Facilities,2017-07-26 09:40:24,,False,4
25,I haven’t been able to amend my overdraft. Not because it’s declined but when using the app and filling out the details required it then comes up saying that to finalise the request I have to call bank of Scotland. Calling them takes forever and when I phoned to query why the application was not being processed on the app I was given very little help and a dismissive attitude. The service of an overdraft and the ease to control the amount both up and down is a great freedom I have enjoyed over the years and now with it not working and a dismissive service on the phone I am very frustrating. To call them and amend your overdraft takes about 25-30 mins as opposed to 2mins on the app.,MochiMatt,Service is no good,2018-06-10 17:28:53,,False,1
26,Having banked with B of S for 50 years this is the first time I haven’t been able to successfully move forward with new technology. Over 2 days I tried at least 16 times to change from the previous app which I have had no problems with. Niall in the call centre was extremely helpful but still I couldn’t access my accounts! I am going abroad on holiday in 3 days so this was a very inconvenient time for problems. I hope if I call in personally at my branch tomorrow they will be able to assist.,Specs appeal,4 hours !!,2019-08-26 23:16:43,,False,4
27,"I have been using the Halifax app for a while but got a new phone recently and updated my bank of Scotland app to use that. Since then, only a a few weeks ago, there have been several occasions when I haven’t been able to access the app with a variety of messages being shown ‘technical difficulties’ being the most frequent. Although at times the Halifax app has had the same error at the same time I have been able to access this on occasions where I couldn’t access BOS app",MR14 SMV,Glitches in App?,2022-01-27 22:39:47,,False,3
28,"Only recently, did I become aware that not all banks have this quality of service! Totally took it for granted until I tried to help someone with their online banking. It couldn’t do half the things that are so easily done with Bank of Scotland. Pay in checks, transfer money, checking accounts. All really easy. And I’m not very techie. It’s easy to set up and functionality is the best!",Dad Against Climate Change,Excellent service,2021-06-10 12:45:29,,False,5
29,"Love my banking with BOS, however, there seems to be a trust issue from you guys....my account has never been in the ‘red’ in all the years I have been a Customer. I’ve also in the past had a now completely paid off mortgage with you, so when I called to ask if I could arrange a short term overdraft, only to be told after all of my information was given, that it wasn’t possible as my address was in Spain......",#letmein,Review,2019-11-05 13:38:59,,False,5
30,"So this app is easy
To access, let’s you keep on top of your finances , let’s you transfer money or pay someone. Well it does, when it works and it doesn’t work a lot of the time. Getting fed up with the uselessness of this app and am seriously considering moving to Virgin. Their app works very well, does what it’s supposed to, gives advance warnings if it’s going to be offline in other words completely the opposite of BOS. I have tried unsuccessfully all day to pay my visa bill. Come on BOS. get this right.",Hopefully Hoppy,Could be better,2021-04-01 17:10:57,,False,3
31,"A recent version introduced a change so you cannot download PDF statements anymore. Go into your Inbox and click one of the statement messages. You get to a page that has a “download as PDF” button. Click that and you can see the PDF, but the ability to actually download the file has been removed because somebody has removed the share button. Clearly whoever made this change has no clue how iOS works, but without a share button all users can do is look at the PDF. Bring back the share button!!!",Audiobook Junkie UK,No more downloadable statements,2021-11-19 00:35:07,"{'id': 26496862, 'body': ""Hi, thanks for letting us know about this issue. We're aware of this and will be releasing a fix soon. Thanks for your patience in the meantime. ~ Emma"", 'modified': '2021-11-26T14:21:12Z'}",False,2
32,Since lock down of Covid 19 joining on line banking has helped enormously in maintaining gods social distancing and at the same time gives me live news re money movement and spending information. This allows myself to keep a close track of my finances. Great app although being of the older generation I’m always scared of the security of my bank and account details being hacked. I guess only time will tell.,DOD Inchinnan,Mr D O’Donnell,2020-06-23 13:10:01,,False,5
33,"This is a very useful, user friendly, easily accessed, quick to use app. Download  it and grab yourself some really useful flexibility and control of your accounts. Best of the various apps I use with providers to conduct my banking. Focus here is on functionality and ease of use - not how colourful and ‘hip’ it looks. Good to have both but otherwise I’d go for functionality every time.",Has Bean,Brilliant App,2022-01-28 11:47:14,,False,5
34,"Keeps logging you out of the app and asks you to sign in as someone that’s never used the app before, Face ID turned on and it still asks for passwords and memorable info that nobody remembers 5 Boody years later, so checking you’re balance takes about 20 min after all the confirming emails, calls with pins and putting in silly passcodes that does nothing but cause stress! Sort out your app bank of Scotland! God sake 😡",!!-;),Bank of Delay,2019-08-18 16:01:34,,False,5
35,"The BOS bank app is one of the biggest life changing additions to the banking sector this century. It is easy to use and gives you great access 24/7.
Though I don’t want to see the end of the high street branch because they are still useful. I understand the costs are high, but possible high street branches can diversify and be a front shop for all services.",GolfStu,Bank App,2021-10-31 20:08:47,,False,5
36,"I love this app . I love I can do my banking checks, transfers , planning etc when it’s convenient to me . App is easy to get around . There’s lots of little features that make keeping on top of your finances easier , like the date scroll to and from , what’s expected to and from etc 
To be able to cancel direct debits etc straight from app rather than having to call into a branch . I love it .",MichNiamh,Keeping on top,2019-11-12 18:09:42,,False,5
37,"Have used this app for for a long time and it was always convenient however the recent updates have made it even better. As much as I don’t want high street banks to go, I must admit that I use this app for everything - paying in cheques is soooo easy now! It’s so simple to use that even computer novices would find it easy I think.",CJP2008,Great app,2021-01-15 22:11:27,,False,5
38,No real fault really. Just a little slow at showing payment made to my credit card. Instantly shows amount taken from current account but doesn’t show payment made to credit card account for a few days. I log in often during those days to make sure payment has been made. Other than that I love the App.,molly2me,Still good,2019-10-15 05:29:50,,False,5
39,"After leaving this review, the app has been updated and has allowed for password pasting. Quite impressed with how quickly this was fixed! There is still no integrated password manager support, but it’s definitely usable now :)

Below is my original review. 

All the basics are there. Overall quite impressed. 

My only major issue is that there is no password manager support. Since all of my passwords are 25+ characters, it is very annoying to have to type in each character copying from another screen or by popping in and out of the app. It doesn’t even let you paste a password into the field! 

Other than this, there’s not much to complain about.",ewanb72,Quality app and fast developer feedback,2018-04-29 00:06:15,"{'id': 3270926, 'body': ""Hi, we've enabled pasting passwords in our new updated app. Try updating the app via the app store and try it out. Anthony."", 'modified': '2018-04-29T00:06:15Z'}",True,5
40,"This is one of the best apps, which I use almost daily, making banking so much easier and hassle free. The only issue I have with the app is the Banks offers and adds that appear between your accounts on the main screen. I don't mind the adds themselves, I wish they would move them to the bottom, after all your accounts.",Scottyrg,Just gets better,2017-08-15 12:33:54,,False,5
41,"Very easy to use with the correct phone. Fingerprint recognition is wonderful. What used to take time physically going in to a bank (with all that entailed ) is now done in minutes, more easily, more conveniently wherever you are with your phone (so long as you’ve got a signal) 
Brilliant, couldn’t have imagined this 30 years ago👍",Hazel Margaret,Great app,2021-02-09 18:44:34,,False,5
42,"Yet again I have had to delete and reload this app just to be able to get at and check my account and my money. 
What really brasses me off with this is, that as a result of a dubious transaction, my branch has suggested that I monitor the account closely!
I have moaned about this app in a number of places, yet I have had no feedback whatsoever from the bank.  It’s becoming apparent that you don’t really care about your customers, so I think it’s time for a chat with the guys from Monzo or Starling!  At least they seem to listen and give you the feeling that they do care!",RobMcLennan,Fallen over YET again!,2020-07-02 14:08:01,,False,1
43,"I had this app for 1 month it was good for the most part but one day I tried to log in my Touch ID never came up, so then I tried to log in and it says my details are wrong so I tried again and guess what wrong again so after many tries it comes up with a number I could phone so I phoned the number had a talk with a person working at the bank and here I’m thinking oh there gonna help me I can log on again to check my balance but nope 👎 there help was useless not using this app again",multiwolf,This app is so bad,2021-05-13 09:08:21,,False,2
44,"Whatever has been done to this app recently has made it almost entirely unworkable on an iPhone 7 running iOS 13.5.2. 

If you open everyday offers, it crashes. Try to open the transaction summary/breakdown, it crashes. Try to look at new accounts, it crashes. Basically, try to do anything other than just look at the most recent transactions on an account, it crashes. 

A fix would be nice!",lady_jackdaw,"Well, it used to work...",2020-07-08 10:21:03,,False,3
45,This app just keeps getting better. It does almost all I need to do with a banking app. Don’t bother going anywhere else. The only improvement I can think of is having the ability to add short comments to payments as reminders to be used later.,Crecalad,First class app from a first class bank,2020-10-17 13:59:56,,False,5
46,"I use three banks’ apps on a regular basis and this is by far the best. 
So easy to see what’s coming in and going out, able to make changes and updates in app which other banks don’t facilitate.
Really easy to use and has excellent options to check upcoming payments. 
Really pleased we opened an account with BOS - customer service and this app are really impressive.",llaxn,Brilliant App!,2019-01-07 22:22:56,,False,5
47,"This app does the basics and is reasonably efficient in the way it goes about it. However:-

1. It is clumsy and poorly-formatted on an iPad - the display is designed purely for the iPhone and the application makes no adjustment for iPad use. 

2. Integration with the fingerprint scanner doesn’t work on an iPad, but it does work on an iPhone. That makes no sense, unless the underlying programming is sloppy.

3. Occasional connectivity issues, when all other network access is fine. 

If you just need a basic application to check your current account balance and maybe pay a few bills, this should do the job, but it feels like a minimum-effort, me-too response to other banks entering the mobile market. 

No leadership, no innovation. Could do better.",sprig gift,Mediocre,2018-02-10 15:44:27,"{'id': 2563103, 'body': ""Thanks for the constructive feedback. We're in the process of re-designing our app and we hope to optimise the screen for larger screened devices as well as enabling TouchID on the iPad. We're hoping to release these features over the next few months so please keep an eye out. Apologies for any inconvenience, Anthony."", 'modified': '2018-02-12T15:01:03Z'}",False,4
48,"This app is almost perfect. No longer do you need to go through loads of security questions on the telephone, or remember how much your last petrol amount was (to the penny). One simple Touch ID and your in. My only improvement - stop logging out so quickly when you need to multi task to a list of password or account numbers. Well done guys for a great useful app",Technotoaster,Great App for Banking,2017-12-26 11:30:49,,False,5
49,"Admittedly running ios 11.2 in beta, but having moved to new iPhone X, I am unable to login. It skips past the telephone validation screen and says that the app is inaccessible and to try later. .... continuously fails.

Updated. .. must have been glitches. After 36hrs of attempts to login, it finally behaved and I am back in action score increased to 5 stars again.",Lizdav,Unable to login,2017-12-01 23:19:11,"{'id': 1915013, 'body': 'Thanks for the feedback and good to hear the app is now working for you!', 'modified': '2017-12-04T08:58:42Z'}",False,5
50,"Having tried online banking with a number of other banks, the BOS one is, in my opinion, the easiest to use and the quickest to do and find what you want. One easy and secure step to log in, very easy to go through your accounts and doing any money transactions  is very easy to set up .",5 star Online,Best online banking app,2021-01-18 15:30:45,,False,5
51,"The Bank of Scotland banking online service just gets better and better, clear, intuitive, all embracing and easy to use. 
I’ve had other accounts with other good banks, however the cooperation, security and ease of navigating through online and telephone banking with the BOS is exceptional. Congratulations!",Michael de Longueuil,Outstanding,2020-11-10 08:42:54,,False,5
52,"Banking is so straightforward with this app. Without doubt, this is one of the areas of life where there has been real progress in the last decades. It is difficult to imagine how much more difficult things were before. I’ve never once had a single complaint or niggle with it!",gerardx,An excellent app,2020-06-16 19:08:31,,False,5
53,"The Bank of Scotland’s personal customer ebusiness has come a long way from the launch of their first app. The current app has all the functionality I need, to move money around, national or international, pay with Apple pay, account status, printing statements directly from my phone and many other functions - well done BoS!",jungleted,Banking made wasy,2019-09-08 15:12:34,,False,5
54,"This App is excellent for doing important tasks quickly whilst on the move ( well not during the Lockdown!) but during the Covid Crisis being able to get payments to those really kind young volunteers bank accounts when they have shopped for you.
Keep well all",Bar-All,Extremely useful tool,2020-04-09 15:57:25,,False,5
55,"With the latest improvements this app is even more useful. It is faster and easier on an Ipad than using internet banking on a PC.
The only reason I haven’t given it five stars yet is that occasionally the “offers” screen fails to load, and the only way to get rid of the app is to switch to something else.",Blairtum,Almost flawless!,2020-05-28 10:27:11,,False,4
56,"Since the new update I now need to use mental arithmetic to work out my ‘available balance’. 
Ridiculous that you cannot see how much ‘available balance’ you have. 
Can’t even talk to an advisor via the app now, you now have to talk to a robot, who tells you that it ‘can’t understand, please use shorter sentences’ 
Absolute useless.",Telf1979,Mental Arithmetic,2019-12-12 05:44:13,,False,5
57,"This app is unbelievably helpful for online banking! Once you’ve navigated yourself around the app and found out where all the features are then it takes 0.2 seconds to make payments, send details, check how much money you have, switch between accounts, etc. Would highly recommend!!!",Reviewer2000!!,Amazing App,2018-05-29 19:37:18,,False,5
58,Phoned kilmarnock branch re transfer. Told woman amount and she assured me that no problem to do myself. Told me to phone and check account numbers. I then tried to transfer amount and it’s way over amount I can do myself. Bank teller has skipped off home- I’m left unable to transfer money. Be ashamed bank of Scotland your service stinks,verypissedoff5,Horrible teller kilmarnock,2019-12-03 17:06:50,,False,5
59,"Not sure if I've missed it or what, but an option to set balance alerts would be ideal. Waiting on a payment clearing before I can use it and keep having to open the app to check instead of just having a notification pop up. 

Other banking apps have this feature. Would have thought it would be pretty standard.",Invader-Strange,Needs Balance Alerts,2018-05-29 10:38:50,,False,4
60,"The BoS online banking app puts all the necessary functions in front of you and gives you the ability to manage your finances, all in one place.     Easy to review your transactions, your regular payments and gives you the ability to move funds to 3rd parties with ease.",Gordon170,Very good banking app,2021-06-30 14:00:25,,False,5
61,"Just updated the app yesterday, what a nightmare. Doesn’t show the available balance, been replaced by overdraft limit, which may suit some if they have one. If you follow their background to the changes it takes you out-the app and makes you go through security to get back in. It wasn’t broken why change it?",Blackreddennis,Latest update has wrecked it,2019-11-17 19:15:54,"{'id': 11928565, 'body': ""Hello, we're sorry that you are unhappy with the functionality on the App the reason for the change was that the FCA introduced regulations that all banks must follow, so we’ve had to change how we show your account balance so you can clearly see how much money you have and how much you’re borrowing. Now you’ll see your actual account balance (including pending transactions) and any arranged overdraft limit separately.\r\nThanks, Darren\r\n"", 'modified': '2019-11-19T10:10:46Z'}",False,4
62,"The most easy and mobile application while on the move to access my bank account. 
I'm being a landlord enable to deposit mobile  cheque more than £500.

I do get cheques well over £500 that means I have to go to a Halifax branch or a post office to deposit it.",elepgant5,Excellent mobile application,2020-04-18 11:06:55,,False,5
